Team,FF%_close,PP%,GSAx/60,season
Air Force,53.1,21.5,0.0,2023-24
Alaska,59.0,20.6,0.0,2023-24
Alaska-Anchorage,47.4,9.9,0.0,2023-24
American Int'l,49.8,15.1,0.0,2023-24
Arizona State,51.6,26.5,0.0,2023-24
Army,45.3,16.8,0.0,2023-24
Augustana,42.0,19.7,0.0,2023-24
Bemidji State,51.3,16.3,0.0,2023-24
Bentley,54.8,22.1,0.0,2023-24
Boston College,52.4,29.0,0.0,2023-24
Boston University,53.4,28.1,0.0,2023-24
Bowling Green,45.8,18.6,0.0,2023-24
Brown,45.0,14.9,0.0,2023-24
Canisius,47.5,15.8,0.0,2023-24
Clarkson,51.0,15.3,0.0,2023-24
Colgate,49.2,26.4,0.0,2023-24
Colorado College,51.3,16.9,0.0,2023-24
Connecticut,51.8,13.7,0.0,2023-24
Cornell,55.5,18.2,0.0,2023-24
Dartmouth,50.3,21.0,0.0,2023-24
Denver,52.4,22.3,0.0,2023-24
Ferris State,45.4,13.8,0.0,2023-24
Harvard,40.1,22.2,0.0,2023-24
Holy Cross,53.5,17.6,0.0,2023-24
Lake Superior,44.4,22.2,0.0,2023-24
Lindenwood,40.2,14.8,0.0,2023-24
Long Island,53.7,25.8,0.0,2023-24
Maine,54.0,21.7,0.0,2023-24
Mass.-Lowell,48.9,12.4,0.0,2023-24
Massachusetts,53.1,19.2,0.0,2023-24
Mercyhurst,41.3,17.9,0.0,2023-24
Merrimack,47.9,17.1,0.0,2023-24
Miami,43.5,13.2,0.0,2023-24
Michigan,54.4,33.6,0.0,2023-24
Michigan State,54.4,27.1,0.0,2023-24
Michigan Tech,52.8,22.7,0.0,2023-24
Minnesota,50.7,23.2,0.0,2023-24
Minnesota State,53.4,20.0,0.0,2023-24
Minnesota-Duluth,49.0,25.0,0.0,2023-24
New Hampshire,54.8,18.9,0.0,2023-24
Niagara,47.4,23.0,0.0,2023-24
North Dakota,53.3,25.5,0.0,2023-24
Northeastern,44.2,25.0,0.0,2023-24
Northern Michigan,50.9,22.6,0.0,2023-24
Notre Dame,48.9,19.1,0.0,2023-24
Ohio State,49.7,21.9,0.0,2023-24
Omaha,49.3,18.4,0.0,2023-24
Penn State,55.5,19.7,0.0,2023-24
Princeton,50.1,27.8,0.0,2023-24
Providence,57.1,19.3,0.0,2023-24
Quinnipiac,60.8,22.2,0.0,2023-24
Rensselaer,44.2,18.2,,2023-24
RIT,55.4,24.0,0.0,2023-24
Robert Morris,40.8,19.0,0.0,2023-24
Sacred Heart,45.2,17.7,0.0,2023-24
St. Cloud State,51.1,24.2,0.0,2023-24
St. Lawrence,49.8,18.8,0.0,2023-24
St. Thomas,49.8,17.4,0.0,2023-24
Stonehill,36.1,13.8,0.0,2023-24
Union,49.7,21.2,0.0,2023-24
Vermont,47.9,10.6,0.0,2023-24
Western Michigan,57.9,21.9,0.0,2023-24
Wisconsin,53.2,19.7,0.0,2023-24
Yale,46.5,12.9,0.0,2023-24
