date,home_team,away_team,home_score,away_score,period,detail,home_outcome,away_outcome
2023-03-11,Rochester Tigers,Holy Cross Crusaders,0,1,4,Final/OT,OL,OW
2023-03-11,Omaha Mavericks,North Dakota Fighting Hawks,2,1,3,Final,RW,RL
2023-03-11,St. Cloud State Huskies,Minnesota Duluth Bulldogs,3,1,3,Final,RW,RL
2023-03-11,Arizona State Sun Devils,Long Island University Long Island University,6,3,3,Final,RW,RL
2023-03-11,Denver Pioneers,Miami (OH) RedHawks,6,2,3,Final,RW,RL
2023-03-11,Alaska Anchorage Seawolves,Lindenwood Lions,7,7,3,Final,RL,RW
2023-03-11,UConn Huskies,UMass Lowell  River Hawks,1,2,3,Final,RL,RW
2023-03-11,Boston University Terriers,Vermont Catamounts,7,3,3,Final,RW,RL
2023-03-11,Western Michigan Bulldogs,Colorado College Tigers,2,3,4,Final/OT,OL,OW
2023-03-11,Michigan Tech Huskies,Northern Michigan Wildcats,0,4,3,Final,RL,RW
2023-03-11,Michigan Wolverines,Ohio State Buckeyes,7,3,3,Final,RW,RL
2023-03-12,Quinnipiac Bobcats,Yale Bulldogs,6,2,3,Final,RW,RL
2023-03-12,Harvard Crimson,Princeton Tigers,6,1,3,Final,RW,RL
2023-03-12,Cornell Big Red,Clarkson Golden Knights,3,1,3,Final,RW,RL
2023-03-12,St. Lawrence Saints,Colgate Raiders,2,3,3,Final,RL,RW
2023-03-12,St. Cloud State Huskies,Minnesota Duluth Bulldogs,1,5,3,Final,RL,RW
2023-03-12,Northeastern Huskies,Providence Friars,1,2,4,Final/OT,OL,OW
2023-03-12,Rochester Tigers,Holy Cross Crusaders,4,3,4,Final/OT,OW,OL
2023-03-12,Minnesota State Mavericks,Ferris State Bulldogs,7,2,3,Final,RW,RL
2023-03-12,Canisius Golden Griffins,Niagara Purple Eagles,5,1,3,Final,RW,RL
2023-03-12,Merrimack Warriors,Boston College Eagles,1,0,4,Final/OT,OW,OL
2023-03-12,Denver Pioneers,Miami (OH) RedHawks,7,2,3,Final,RW,RL
2023-03-12,Omaha Mavericks,North Dakota Fighting Hawks,1,3,3,Final,RL,RW
2023-03-12,Arizona State Sun Devils,Long Island University Long Island University,2,1,4,Final/OT,OW,OL
2023-03-12,Minnesota Golden Gophers,Michigan State Spartans,5,1,3,Final,RW,RL
2023-03-12,Alaska Anchorage Seawolves,Lindenwood Lions,4,3,4,Final/OT,OW,OL
2023-03-12,Rochester Tigers,Holy Cross Crusaders,1,5,3,Final,RL,RW
2023-03-12,St. Cloud State Huskies,Minnesota Duluth Bulldogs,3,1,3,Final,RW,RL
2023-03-12,Canisius Golden Griffins,Niagara Purple Eagles,4,2,3,Final,RW,RL
2023-03-12,Omaha Mavericks,North Dakota Fighting Hawks,2,5,3,Final,RL,RW
2023-03-17,Boston University Terriers,Providence Friars,2,1,4,Final/OT,OW,OL
2023-03-17,Quinnipiac Bobcats,Colgate Raiders,1,2,4,Final/OT,OL,OW
2023-03-17,Denver Pioneers,Colorado College Tigers,0,1,3,Final,RL,RW
2023-03-17,Merrimack Warriors,UMass Lowell  River Hawks,2,1,4,Final/OT,OW,OL
2023-03-17,Cornell Big Red,Harvard Crimson,0,1,4,Final/OT,OL,OW
2023-03-18,North Dakota Fighting Hawks,St. Cloud State Huskies,2,3,4,Final/OT,OL,OW
2023-03-18,Canisius Golden Griffins,Holy Cross Crusaders,3,0,3,Final,RW,RL
2023-03-18,Boston University Terriers,Merrimack Warriors,3,2,4,Final/OT,OW,OL
2023-03-18,Minnesota State Mavericks,Northern Michigan Wildcats,3,2,4,Final/OT,OW,OL
2023-03-18,Harvard Crimson,Colgate Raiders,2,3,3,Final,RL,RW
2023-03-19,Minnesota Golden Gophers,Michigan Wolverines,3,4,3,Final,RL,RW
2023-03-19,St. Cloud State Huskies,Colorado College Tigers,3,0,3,Final,RW,RL
2023-03-23,Boston University Terriers,Western Michigan Bulldogs,5,1,3,Final,RW,RL
2023-03-23,St. Cloud State Huskies,Minnesota State Mavericks,4,0,3,Final,RW,RL
2023-03-23,Denver Pioneers,Cornell Big Red,0,2,3,Final,RL,RW
2023-03-24,Minnesota Golden Gophers,Canisius Golden Griffins,9,2,3,Final,RW,RL
2023-03-24,Harvard Crimson,Ohio State Buckeyes,1,8,3,Final,RL,RW
2023-03-24,Penn State Nittany Lions,Michigan Tech Huskies,8,0,3,Final,RW,RL
2023-03-24,Quinnipiac Bobcats,Merrimack Warriors,5,0,3,Final,RW,RL
2023-03-25,Michigan Wolverines,Colgate Raiders,11,1,3,Final,RW,RL
2023-03-25,Boston University Terriers,Cornell Big Red,2,1,3,Final,RW,RL
2023-03-25,Minnesota Golden Gophers,St. Cloud State Huskies,4,1,3,Final,RW,RL
2023-03-26,Quinnipiac Bobcats,Ohio State Buckeyes,4,1,3,Final,RW,RL
2023-03-26,Michigan Wolverines,Penn State Nittany Lions,2,1,4,Final/OT,OW,OL
2023-04-06,Minnesota Golden Gophers,Boston University Terriers,6,2,3,Final,RW,RL
2023-04-07,Quinnipiac Bobcats,Michigan Wolverines,5,2,3,Final,RW,RL
2023-04-09,Minnesota Golden Gophers,Quinnipiac Bobcats,2,3,4,Final/OT,OL,OW
